urls,titles,prices
https://www.batteryjunction.com/nitecore-nl189.html,Nitecore NL1834 18650 3400mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$17.95
https://www.batteryjunction.com/panasonic-ncr18650b-3400.html,Panasonic NCR 18650 3400mAh 3.7V Unprotected High-Drain 4.87A Lithium Ion (Li-ion) Flat Top Battery - Boxed,$6.50
https://www.batteryjunction.com/ultrafire-brc-18650.html,UltraFire FLB 18650 3000mAh 3.7V High-Capacity Protected Lithium Ion (Li-ion) Button Top Battery - Priced Per Cell,$7.95
https://www.batteryjunction.com/lg-hg2-18650.html,LG HG2 INR 18650 3000mAh 3.7V Unprotected Lithium Manganese Nickel (LiNiMnCoO2) Flat Top Battery,$7.00
https://www.batteryjunction.com/olight-18650-2600mah.html,Olight ORB-186P26 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Retail Card,$9.99
https://www.batteryjunction.com/ultrafire-xsl-2600-18650.html,UltraFire BRC 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Boxed,$7.50
https://www.batteryjunction.com/samsung-inr18650-25r.html,Samsung 25R INR 18650 2500mAh 3.7V Unprotected High-Drain 20A Lithium Ion (Li-ion) Flat Top Battery - Bulk,$3.95
https://www.batteryjunction.com/powertac-3400-p-18650-battery.html,Powertac 18650 3400mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery,$19.95
https://www.batteryjunction.com/nitecore-nl1829-ltp-low-temp-rechargeable-18650.html,Nitecore NL1829-LTP 18650 2900mAh 3.6V Low Temperature Protected 4A Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$24.95
https://www.batteryjunction.com/nitecore-nl1829-lthp-low-temp-high-capacity-18650.html,Nitecore NL1829-LTHP 18650 2900mAh 3.6V Low Temperature High Performance Protected 8A Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$26.95
https://www.batteryjunction.com/lg-he2-18650-icr-lithium-ion-battery.html,LG HE2 ICR 18650 2500mAh 3.6V Unprotected 20A Lithium Ion (Li-ion) Flat Top Battery,$4.25
https://www.batteryjunction.com/sanyo-ncr18650ga-li-ion-flat-top-battery.html,Sanyo NCR 18650GA 3500mAh 3.7V Unprotected High-Drain 10A Lithium Ion (Li-ion) Flat Top Battery - Boxed,$6.95
https://www.batteryjunction.com/lg-mj1-inr-18650.html,LG MJ1 INR 18650 3500mAh 3.6V Unprotected High-Drain 10A Lithium Ion (Li-ion) Flat Top Battery - Bulk,$5.75
https://www.batteryjunction.com/nitecore-nl1835r-usb-rechargeable-18650-battery.html,Nitecore NL1835R 18650 3500mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery with Built In Micro-USB Charging Port,$21.95
https://www.batteryjunction.com/nitecore-nl1835hp-18650-li-ion-battery.html,Nitecore NL1835HP High Performance 18650 3500mAh 3.6V 8A Protected Lithium Ion (Li-ion) Button Top Battery,$21.95
https://www.batteryjunction.com/led-lenser-880077.html,Ledlenser 880077 18650 2200mAh 3.7V Lithium Ion (Li-ion) Flat-Top Battery for M7R or P7R LED Flashlight,$14.99
https://www.batteryjunction.com/tenergy-31777-18650-button-top.html,Tenergy 31777 18650 3500mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery - 2-Pack Plastic Box,$27.90
https://www.batteryjunction.com/panasonic-ncr18650be-battery.html,Panasonic NCR18650BE 3200mAh 3.7V Unprotected 3.63A Lithium Ion (Li-ion) Flat Top Battery - Boxed,$4.50
https://www.batteryjunction.com/sony-vtc5a-18650-battery.html,Sony VTC5A 18650 2600mAh 3.7V Unprotected High-Drain 35A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$6.50
https://www.batteryjunction.com/olight-h2r-18650-battery.html,Olight ORB-186C30 18650 3000mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery for the H2R,$18.99
https://www.batteryjunction.com/nitecore-nl1826r-18650-battery.html,Nitecore NL1826R 18650 2600mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery with Built In Micro-USB Charging Port,$11.95
https://www.batteryjunction.com/nitecore-nl1834-18650-battery.html,Nitecore NL1834R 18650 3400mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery with Built In Micro-USB Charging Port,$19.95
https://www.batteryjunction.com/samsung-26f-18650-flat-top-battery.html,Samsung 26F 18650 2600mAh 3.7V Lithium Ion (Li-Ion) Unprotected Flat Top Battery,$3.40
https://www.batteryjunction.com/samsung-26f-18650-button-top-battery.html,Samsung 26F 18650 2600mAh 3.7V Lithium Ion (Li-Ion) Protected Button Top Battery,$4.75
https://www.batteryjunction.com/olight-lg-18650-3400mah-battery.html,Olight LG ORB-186L34 18650 3400mAh 3.6V Protected Lithium Ion (Li-Ion) Button Top Battery - Retail Card,$15.99
https://www.batteryjunction.com/olight-18650-3200mah-battery.html,Olight ORB-186P32 18650 3200mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery - Plastic Box or Retail Card,$14.99
https://www.batteryjunction.com/klarus-18650-usb-rechargeable-li-ion-battery.html,Klarus UR26 18650 2600mAh 3.6V Protected Lithium Ion (Li-Ion) Button Top Battery with Micro USB Charging Port,$11.95
https://www.batteryjunction.com/fenix-arb-l18-3500u.html,Fenix ARB-L18U 18650 3500mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery with Micro USB Charging Port - Clam Shell,$22.95
https://www.batteryjunction.com/klarus-18gt-imr31.html,Klarus 18GT IMR 18650 3100mAh 3.6V Protected High-Drain 12A Lithium Manganese (LiMn2O4) Button Top Battery - Plastic Box,$18.90
https://www.batteryjunction.com/nitecore-imr18650-3100-35a-battery.html,Nitecore IMR 18650 3100mAh 3.7V Unprotected High-Drain 35A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$15.25
https://www.batteryjunction.com/nitecore-imr18650-2600-40a-battery.html,Nitecore IMR 18650 2600mAh 3.7V Unprotected High-Drain 40A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$14.45
https://www.batteryjunction.com/nitecore-imr18650-2100-38a-battery.html,Nitecore IMR 18650 2100mAh 3.7V Unprotected High-Drain 38A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$12.95
https://www.batteryjunction.com/nitecore-imr18650-2500-35a-battery.html,Nitecore IMR 18650 2500mAh 3.7V Unprotected High-Drain 35A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$14.15
https://www.batteryjunction.com/nitecore-imr18650-2100-30a-battery.html,Nitecore IMR 18650 2100mAh 3.7V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$12.45
https://www.batteryjunction.com/nitecore-nl1835.html,Nitecore NL1835 18650 3500mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$19.95
https://www.batteryjunction.com/fenix-arb-l8-2600-18650.html,Fenix ARB-L18U 18650 2600mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery with Micro USB Charging Port - Clam Shell,$11.95
https://www.batteryjunction.com/olight-18650-3600mah-battery.html,Olight ORB2-186P36 18650 3600mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery - 1 Piece Retail Card,$19.99
https://www.batteryjunction.com/tenergy-30011-02.html,Tenergy 30011-02 18650 2600mAh 3.6V Protected 3.5A Lithium Ion (Li-ion) Battery with Molex Connector,$24.50
https://www.batteryjunction.com/klarus-18gt-36.html,Klarus 18GT 18650 3600mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery for XT11 - Plastic Box,$18.90
https://www.batteryjunction.com/sony-vtc6-18650-3000-flat.html,Sony VTC6 IMR 18650 3000mAh 3.6V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Bulk,$8.50
https://www.batteryjunction.com/samsung-30q-18650-3000-flat.html,Samsung 30Q INR 18650 3000mAh 3.6V Unprotected High-Drain 15A Lithium Ion (Li-ion) Flat Top Battery,$4.95
https://www.batteryjunction.com/nitecore-nl188dw.html,Nitecore NL188DW 18650 3200mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery for R25 Flashlight - Bulk,$21.00
https://www.batteryjunction.com/fenix-arb-l18-2900.html,Fenix ARB-L18 18650 2900mAh 3.6V Protected Lithium Ion (Li-ion) Button-Top Battery - Clam Shell,$14.95
https://www.batteryjunction.com/sunwayman-ap-18.html,Sunwayman AP-18 18650 3400mAh 3.7V Protected Lithium Ion (Li-Ion)  Button Top Battery - Clam Shell,$17.00
https://www.batteryjunction.com/nitecore-imr18650c.html,Nitecore IMR 18650 2500mAh 3.6V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Retail Card,$10.95
https://www.batteryjunction.com/jetbeam-jl240-18650-battery.html,JETBeam JL240 18650 2400mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$8.50
https://www.batteryjunction.com/sony-vtc4-imr18650-2100-flat.html,Sony VTC4 IMR 18650 2100mAh 3.7V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$3.95
https://www.batteryjunction.com/sony-vtc5-18650-2600-flat.html,Sony VTC5 IMR 18650 2600mAh 3.6V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$5.95
https://www.batteryjunction.com/klarus-18650bat-26.html,Klarus  18650 2600mAh 3.7V Lithium Ion (Li-ion) Protected Button Top Battery - Plastic Box (18650BAT-26),$9.95
https://www.batteryjunction.com/klarus-18650bat-3400.html,Klarus Panasonic 18650 3400mAh 3.7V Protected Lithium (Li-ion) Button Top Battery - Retail Packaging,$19.80
https://www.batteryjunction.com/nitecore-nl18650a.html,Nitecore NL18650A IMR 18650 2000mAh 3.6V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$11.95
https://www.batteryjunction.com/efest-imr18650-4506.html,Efest Purple 4506 IMR 18650 2600mAh 3.7V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$9.00
https://www.batteryjunction.com/fenix-arb-l18-3500.html,Fenix ARB-L18 18650 3500mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery - Clam Shell,$21.97
https://www.batteryjunction.com/jetbeam-jl260-18650-2600.html,JETBeam JL260 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$8.95
https://www.batteryjunction.com/lg-d1-18650.html,LG D1 ICR 18650 3000mAh 3.7V Unprotected Lithium Ion (Li-ion) Flat Top Battery,$4.50
https://www.batteryjunction.com/lg-he4-18650.html,LG HE4 INR 18650 2500mAh 3.6V Unprotected 20A Lithium Manganese (LiMn2O4) Flat Top Battery,$4.15
https://www.batteryjunction.com/efest-imr18650-4499.html,Efest Purple 4499 IMR 18650 3500mAh 3.7V Unprotected High-Drain 20A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$9.75
https://www.batteryjunction.com/efest-imr18650-4409.html,Efest Purple 4409 IMR 18650 3000mAh 3.7V Unprotected High-Drain 35A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$9.15
https://www.batteryjunction.com/efest-imr18650-4334.html,Efest Purple 4334 IMR 18650 2100mAh 3.7V Unprotected High-Drain 38A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$7.95
https://www.batteryjunction.com/efest-imr18650-4337.html,Efest Purple 4337 IMR 18650 3100mAh 3.7V Unprotected High-Drain 20A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$9.75
https://www.batteryjunction.com/efest-imr18650-4339.html,Efest Purple 4339 IMR 18650 2500mAh 3.7V Unprotected High-Drain 35A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$8.95
https://www.batteryjunction.com/efest-imr18650-4345.html,Efest Purple 4345 IMR 18650 2100mAh 3.7V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$7.75
https://www.batteryjunction.com/efest-3690-button-3000mah.html,Efest 3690 18650 3000mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Boxed,$9.75
https://www.batteryjunction.com/nitecore-nl186.html,Nitecore NL1826 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$13.00
https://www.batteryjunction.com/ultrafire-blue-18650.html,UltraFire TR 18650 2400mAh 3.7V Unprotected Lithium Ion (Li-ion) Button Top Battery - Bulk,$6.70
https://www.batteryjunction.com/nitecore-nl183.html,Nitecore NL1823 18650 2300mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$9.00
https://www.batteryjunction.com/efest-4066-opt.html,Efest IMR 18650 2500mAh 3.7V Unprotected Lithium Manganese (LiMn2O4) Button (4153) or Flat Top (4066) Battery - Boxed,$9.25
https://www.batteryjunction.com/tenergy-30016.html,Tenergy 30016 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Bulk,$7.95
https://www.batteryjunction.com/tenergy-18650-button2600pcb-card.html,Tenergy 30049 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Retail Card,$7.95
https://www.batteryjunction.com/tenergy-18650-tab-2600.html,Tenergy 30005 ICR 18650 2600mAh 3.7V Lithium Ion (Li-Ion) Unprotected Rechargeable Battery for Pack-Building (TABS OPTIONAL),$7.45
https://www.batteryjunction.com/efest-3259-pc-button.html,Efest 3259 18650 3400mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Boxed,$12.50
https://www.batteryjunction.com/xtar-samsung-icr18650-26f-2600.html,Xtar Samsung ICR 18650 2600mAh 3.7V Protected High-Drain 5.2A Lithium Ion (Li-ion) Button Top Battery - Boxed,$6.50
https://www.batteryjunction.com/xtar-panasonic-ncr18650pf-2900.html,Xtar Panasonic NCR 18650 2900mAh 3.6V Unprotected High-Drain 10A Lithium Ion (Li-ion) Button Top Battery - Boxed,$8.25
https://www.batteryjunction.com/2600pcb-18650.html,Tenergy 30006 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Flat Top Battery - Bulk,$7.95
https://www.batteryjunction.com/xtar-panasonic-ncr18650a-3100.html,Xtar Panasonic NCR 18650 3100mAh 3.6V Protected High-Drain 3.54A Lithium Ion (Li-ion) Button Top Battery - Boxed,$12.50
https://www.batteryjunction.com/klarus-18650bat-29.html,Klarus 18650 2900mAh 3.7V Protected Lithium Ion (Li-ion) Flat Top Battery - Plastic Box,$15.00
https://www.batteryjunction.com/efest-3887-opt.html,Efest 3887 IMR 18650 1600mAh 3.7V Unprotected Lithium Manganese (LiMn2O4) Button or Flat Top Battery - Boxed,$6.25
https://www.batteryjunction.com/efest-3106-button.html,Efest 3106 18650 3100mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Boxed,$12.30
https://www.batteryjunction.com/terralux-tlb-18650.html,TerraLUX / Lightstar Corp. TLB 18650 3400mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery - 2-Pack Plastic Box,$31.99
https://www.batteryjunction.com/efest-4065-opt.html,Efest IMR 18650 2100mAh 3.7V Unprotected Lithium Manganese (LiMn2O4) Button (4144) or Flat Top (4064) Battery - Boxed,$7.75
https://www.batteryjunction.com/efest-3244-button.html,Efest 3244 IMR 18650 2250mAh 3.7V Unprotected Lithium Manganese (LiMn2O4) Button Top Battery - Boxed,$7.30
https://www.batteryjunction.com/efest-3259-up-button.html,Efest 3259 18650 3400mAh 3.7V Unprotected Lithium Ion (Li-ion) Button Top Battery - Boxed,$11.95
https://www.batteryjunction.com/tenergy-37-2200-pcb.html,Tenergy 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Bare Leads Battery - Bulk (30011),$17.50
https://www.batteryjunction.com/efest-3259-up-flat.html,Efest 3259 18650 3400mAh 3.7V Unprotected Lithium Ion (Li-ion) Flat Top Battery - Boxed,$11.50
https://www.batteryjunction.com/efest-3164-flat.html,Efest 3164 IMR 18650 2000mAh 3.7V Unprotected Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$5.95
https://www.batteryjunction.com/efest-3563-up-flat.html,Efest 3563 18650 3100mAh 3.7V Unprotected Lithium Ion (Li-ion) Flat Top Battery - Boxed,$12.95
https://www.batteryjunction.com/efest-3405-button.html,Efest 3405 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Boxed,$7.50
https://www.batteryjunction.com/uk-12816-nitex-batt.html,Underwater Kinetics 12816 18650 2200mAh 3.7V Lithium Ion (Li-Ion) Button Top Battery for Nitex / Nitex Pro Lights - Bulk,$44.21
https://www.batteryjunction.com/nitecore-nl188.html,Nitecore NL1832 18650 3200mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$16.00
https://www.batteryjunction.com/efest-3245-button.html,Efest 3245 IMR 18650 2000mAh 3.7V Unprotected Lithium Manganese (LiMn2O4) Button Top Battery - Boxed,$6.25
https://www.batteryjunction.com/efest-3975-flat.html,Efest 3975 18650 2200mAh 3.7V Unprotected Lithium Ion (Li-ion) Flat Top Battery - Boxed,$5.50
https://www.batteryjunction.com/efest-3210-flat.html,Efest 3210 IMR 18650 2250mAh 3.7V Unprotected Lithium Manganese (LiMn2O4) Flat Top Battery - Boxed,$7.00
https://www.batteryjunction.com/efest-3562-flat.html,Efest 3562 18650 2600mAh 3.7V Unprotected Lithium Ion (Li-ion) Flat Top Battery - Boxed,$6.75
https://www.batteryjunction.com/olight-18650-3500mah-s30riii.html,Olight ORB-186C35 18650 3500mAh 3.6V Protected Lithium Ion (Li-ion) Button Top Battery for the S30R III,$18.99
https://www.batteryjunction.com/streamlight-22101-18650-li-ion-battery.html,Streamlight 22101 18650 2600mAh 3.7V Protected Lithium Ion (Li-Ion) Button Top Battery,$11.95
https://www.batteryjunction.com/powertac-18650-2600mah-li-ion-battery.html,Powertac 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery,$12.95
https://www.batteryjunction.com/mecarmy-u18-34-18650-battery.html,MecArmy U18-34 18650 3400mAh 3.7V Lithium Ion (Li-ion) Button Top Battery with Micro USB Charging Port,$22.25
https://www.batteryjunction.com/lg-he2-icr-18650-batteries-2pack.html,BUNDLE: 2 x LG HE2 ICR 18650 2500mAh 3.6V Unprotected High-Drain 20A Lithium Ion (Li-ion) Flat Top Batteries,$8.50
https://www.batteryjunction.com/lg-he4-inr-18650-batteries-4pack.html,BUNDLE: 4 x LG HE4 INR 18650 2500mAh 3.6V Unprotected High-Drain 20A Lithium Manganese (LiMn2O4) Flat Top Batteries,$16.00
https://www.batteryjunction.com/lg-hg2-inr-18650-batteries-4pack.html,BUNDLE: 4 x LG HG2 INR 18650 3000mAh 3.7V Unprotected High-Drain 20A Lithium Manganese (LiMn2O4) Flat Top Batteries,$24.00
https://www.batteryjunction.com/lg-mj1-inr-18650-batteries-4pack.html,BUNDLE: 4 x LG MJ1 INR 18650 3500mAh 3.6V Unprotected High-Drain 10A Lithium Manganese (LiMn2O4) Flat Top Batteries,$22.00
https://www.batteryjunction.com/mecarmy-m182-18650-li-ion-battery.html,MecArmy M182 18650 2600mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery,$11.25
https://www.batteryjunction.com/sony-vtc6-18650-batteries-2pack.html,BUNDLE: 2 x Sony VTC6 IMR 18650 3000mAh 3.6V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Batteries,$17.00
https://www.batteryjunction.com/sony-vtc5a-18650-batteries-2pack.html,BUNDLE: 2 x Sony VTC5A NMC 18650 2600mAh 3.7V Unprotected High-Drain 35A Lithium Nickel Manganese Cobalt Oxide Flat Top Batteries,$13.00
https://www.batteryjunction.com/sony-vtc5-imr-18650-batteries.html,BUNDLE: 2 x Sony VTC5 IMR 18650 2600mAh 3.6V Unprotected High-Drain 30A Lithium Manganese (LiMn2O4) Flat Top Batteries,$11.90
https://www.batteryjunction.com/mecarmy-m183-18650-li-ion-battery.html,MecArmy M183 18650 3400mAh 3.7V Protected Lithium Ion (Li-ion) Battery,$17.00
https://www.batteryjunction.com/sony-vc7.html,Sony VC7 18650 3500mAh 3.6V 8A Unprotected High Capacity Lithium Ion (Li-ion) Flat Top Battery - Bulk,$7.25
https://www.batteryjunction.com/olight-hdc-18650-3500mah-li-ion-battery.html,Olight ORB-186S35 HDC 18650 3500mAh 3.6V Protected High-Drain 10A Lithium Ion (Li-ion) Button Top Battery - 1 Piece Retail Card,$18.99
https://www.batteryjunction.com/klarus-cold-resistant-18650-battery-with-usb-port.html,Klarus 18GT-LT29UR 18650 2900mAh 3.6V High Discharge 8A Cold Resistant Protected Lithium Ion (Li-Ion) Button Top Battery with Micro USB Charging Port,$26.95
https://www.batteryjunction.com/klarus-low-temperature-18650-battery.html,Klarus 18GT-LT29 18650 2900mAh 3.6V High Discharge 8A Low Temperature Protected Lithium Ion (Li-Ion) Button Top Battery,$24.95
https://www.batteryjunction.com/acebeam-imr-18650-3100mah-lithium-ion-battery.html,Acebeam IMR 18650 3100mAh 3.7V Protected High-Drain 20A Lithium Ion (Li-ion) Button Top Battery,$14.40
https://www.batteryjunction.com/samsung-20s-inr-18650-30a-battery.html,Samsung 20S INR 18650 2000mAh 3.6V Unprotected High-Drain 30A Lithium Ion (Li-ion) Flat Top Battery - Boxed,$5.95
https://www.batteryjunction.com/jetbeam-jl35-li-ion-battery.html,JETBeam JL35 18650 3500mAh 3.7V Protected Lithium Ion (Li-ion) Button Top Battery - Blister Pack,$20.49
https://www.batteryjunction.com/streamlight-usb-18650-2pk.html,Streamlight 22102 USB 18650 2-Pack 2600mAh 3.7V Protected Lithium Ion (Li-Ion) Button Top Battery With Built-In USB Charger - 2-pack,$23.95
https://www.batteryjunction.com/olight-orb-186s30.html,Olight ORB-186S30 HDC 18650 3000mAh 3.6V Protected High-Drain Lithium Ion (Li-ion) Button Top Battery,$18.99
